Household_ID,Month,Crop_Income,Livestock_Income,Off_Farm_Income,Food_Expenses,Healthcare_Expenses,Education_Expenses,Discretionary_Expenses,Total_Income
1,1,41479,10218,22426,33593,6718,10077,16796,74123
1,2,71975,39159,64340,67307,13461,20192,33653,175474
1,3,51500,10150,38033,31871,6374,9561,15935,99683
1,4,54994,26173,33915,57518,11503,17255,28759,115082
1,5,15425,23218,22095,30281,6056,9084,15140,60738
1,6,31925,5591,25640,35169,7033,10550,17584,63156
1,7,87516,28314,29827,50676,10135,15202,25338,145657
1,8,33047,17450,25533,42978,8595,12893,21489,76030
1,9,34965,30789,40430,57159,11431,17147,28579,106184
1,10,117474,27138,52476,65468,13093,19640,32734,197088
1,11,30661,41143,34191,63037,12607,18911,31518,105995
1,12,91743,56089,73215,68903,13780,20671,34451,221047
1,13,133817,22068,70224,121747,24349,36524,60873,226109
1,14,64135,21984,25573,47867,9573,14360,23933,111692
1,15,80413,66038,33191,100529,20105,30158,50264,179642
1,16,52457,41524,47013,73105,14621,21931,36552,140994
1,17,62336,39789,24658,40342,8068,12102,20171,126783
1,18,63649,26112,28079,43836,8767,13150,21918,117840
1,19,84118,42886,46606,101687,20337,30506,50843,173610
1,20,112470,53328,48155,73633,14726,22090,36816,213953
1,21,107109,58489,37066,64963,12992,19488,32481,202664
1,22,124020,14642,62502,69658,13931,20897,34829,201164
1,23,127892,48860,45804,114857,22971,34457,57428,222556
1,24,54081,24991,22383,31642,6328,9492,15821,101455
2,1,112283,13900,22189,63776,12755,19133,31888,148372
2,2,102614,60017,28336,62525,12505,18757,31262,190967
2,3,30521,11904,30243,36780,7356,11034,18390,72668
2,4,103443,26703,43123,65130,13026,19539,32565,173269
2,5,46518,45321,55355,74391,14878,22317,37195,147194
2,6,22210,22065,29102,25871,5174,7761,12935,73377
2,7,81552,63600,38244,76819,15363,23045,38409,183396
2,8,40619,14952,24227,46094,9218,13828,23047,79798
2,9,53386,30300,32521,48249,9649,14474,24124,116207
2,10,50980,36974,72693,53689,10737,16106,26844,160647
2,11,56423,28646,17101,41990,8398,12597,20995,102170
2,12,61266,16041,15656,40567,8113,12170,20283,92963
2,13,72817,44234,40571,68966,13793,20689,34483,157622
2,14,51868,43119,56431,77642,15528,23292,38821,151418
2,15,39840,16918,18480,25385,5077,7615,12692,75238
2,16,91443,32677,70966,85539,17107,25661,42769,195086
2,17,20982,17576,23012,23161,4632,6948,11580,61570
2,18,139622,70345,62689,118155,23631,35446,59077,272656
2,19,66959,49108,74888,67199,13439,20159,33599,190955
2,20,97587,48556,55876,74876,14975,22462,37438,202019
2,21,55027,22742,53059,60946,12189,18283,30473,130828
2,22,44597,46115,49010,54545,10909,16363,27272,139722
2,23,71180,21515,28928,42310,8462,12693,21155,121623
2,24,53424,15358,35226,50536,10107,15160,25268,104008
3,1,25615,17932,18307,34077,6815,10223,17038,61854
3,2,46511,23912,31101,55474,11094,16642,27737,101524
3,3,23145,10147,26490,32893,6578,9868,16446,59782
3,4,69847,26786,32759,39486,7897,11845,19743,129392
3,5,65837,18917,53779,70074,14014,21022,35037,138533
3,6,111188,58336,54284,134203,26840,40261,67101,223808
3,7,49576,15098,40696,54575,10915,16372,27287,105370
3,8,102708,37890,51080,72789,14557,21836,36394,191678
3,9,79703,24832,20720,58769,11753,17630,29384,125255
3,10,50920,65073,22314,61327,12265,18398,30663,138307
3,11,84824,40082,66997,83997,16799,25199,41998,191903
3,12,33286,67676,71702,89231,17846,26769,44615,172664
3,13,106022,57897,24016,63533,12706,19059,31766,187935
3,14,15458,21231,8861,15296,3059,4588,7648,45550
3,15,106232,37280,49822,87375,17475,26212,43687,193334
3,16,31053,50296,46311,75598,15119,22679,37799,127660
3,17,68766,31662,13346,36232,7246,10869,18116,113774
3,18,75578,41219,86008,83385,16677,25015,41692,202805
3,19,62202,26164,30143,53643,10728,16093,26821,118509
3,20,29379,17893,20538,20368,4073,6110,10184,67810
3,21,70469,27492,38281,52916,10583,15875,26458,136242
3,22,82670,23578,39755,48655,9731,14596,24327,146003
3,23,25619,50047,64414,71673,14334,21502,35836,140080
3,24,98149,16710,47942,70282,14056,21084,35141,162801
4,1,81209,23792,32667,67016,13403,20104,33508,137668
4,2,59354,34716,46961,67797,13559,20339,33898,141031
4,3,105677,62631,51099,89370,17874,26811,44685,219407
4,4,60774,29733,11631,31726,6345,9518,15863,102138
4,5,81960,45460,36082,62182,12436,18654,31091,163502
4,6,35012,60414,41116,60672,12134,18201,30336,136542
4,7,111276,66754,54562,83920,16784,25176,41960,232592
4,8,24658,32852,15325,42339,8467,12701,21169,72835
4,9,81005,49640,33397,69567,13913,20870,34783,164042
4,10,44553,41863,59333,59124,11824,17737,29562,145749
4,11,101297,55101,55744,70487,14097,21146,35243,212142
4,12,79600,34245,59589,66397,13279,19919,33198,173434
4,13,66152,13716,13021,43988,8797,13196,21994,92889
4,14,21501,37192,29822,48319,9663,14495,24159,88515
4,15,37345,11134,21580,37273,7454,11182,18636,70059
4,16,72979,23687,18022,57978,11595,17393,28989,114688
4,17,43812,15565,31237,52532,10506,15759,26266,90614
4,18,35843,31753,26583,35120,7024,10536,17560,94179
4,19,64760,31646,16324,41757,8351,12527,20878,112730
4,20,54594,13049,32258,31368,6273,9410,15684,99901
4,21,86058,67300,81718,120146,24029,36044,60073,235076
4,22,71508,41882,21360,72810,14562,21843,36405,134750
4,23,40818,20901,13462,28410,5682,8523,14205,75181
4,24,97216,21422,22100,75605,15121,22681,37802,140738
5,1,15277,5847,24144,23208,4641,6962,11604,45268
5,2,107960,22882,29997,74355,14871,22306,37177,160839
5,3,86121,14311,50855,70506,14101,21151,35253,151287
5,4,51001,16479,16592,43005,8601,12901,21502,84072
5,5,39454,29680,47475,69900,13980,20970,34950,116609
5,6,51187,32317,27776,44036,8807,13211,22018,111280
5,7,70832,22011,40465,42899,8579,12869,21449,133308
5,8,24918,27206,21114,37341,7468,11202,18670,73238
5,9,36060,26518,41429,32102,6420,9630,16051,104007
5,10,86480,26208,41997,87931,17586,26379,43965,154685
5,11,35702,30681,23018,52908,10581,15872,26454,89401
5,12,74280,23491,36176,69375,13875,20812,34687,133947
5,13,24672,31877,16809,29557,5911,8867,14778,73358
5,14,61608,18946,31871,41340,8268,12402,20670,112425
5,15,52327,26567,14802,31207,6241,9362,15603,93696
5,16,24376,34006,24244,24935,4987,7480,12467,82626
5,17,100809,28851,61772,82149,16429,24644,41074,191432
5,18,45302,9758,29745,41905,8381,12571,20952,84805
5,19,23554,9692,38095,29457,5891,8837,14728,71341
5,20,49429,14929,14386,33974,6794,10192,16987,78744
5,21,89579,44874,50357,93434,18686,28030,46717,184810
5,22,39094,42689,29532,47053,9410,14116,23526,111315
5,23,38216,15718,19832,39245,7849,11773,19622,73766
5,24,45890,25811,23520,46915,9383,14074,23457,95221
6,1,48368,29468,26005,52067,10413,15620,26033,103841
6,2,64729,37021,40119,68919,13783,20675,34459,141869
6,3,81623,20913,22995,42167,8433,12650,21083,125531
6,4,42527,16813,18622,39388,7877,11816,19694,77962
6,5,61159,16541,25911,49491,9898,14847,24745,103611
6,6,87031,53159,38382,84335,16867,25300,42167,178572
6,7,97408,65189,52435,103110,20622,30933,51555,215032
6,8,83610,37881,40740,96709,19341,29012,48354,162231
6,9,54672,29121,20036,44731,8946,13419,22365,103829
6,10,40838,8158,39003,29199,5839,8759,14599,87999
6,11,28990,15652,22820,30618,6123,9185,15309,67462
6,12,24078,19420,19979,21898,4379,6569,10949,63477
6,13,140649,17495,29383,101622,20324,30486,50811,187527
6,14,84894,10233,37223,49616,9923,14884,24808,132350
6,15,26863,24047,14696,39278,7855,11783,19639,65606
6,16,53386,61355,64751,63410,12682,19023,31705,179492
6,17,70221,23872,62305,64656,12931,19396,32328,156398
6,18,42747,7966,15261,22685,4537,6805,11342,65974
6,19,45220,12993,28784,37040,7408,11112,18520,86997
6,20,26506,42642,15064,37492,7498,11247,18746,84212
6,21,27667,59146,72280,83206,16641,24962,41603,159093
6,22,32687,9059,13785,16682,3336,5004,8341,55531
6,23,59763,29853,27764,43341,8668,13002,21670,117380
6,24,77451,33442,58360,64481,12896,19344,32240,169253
7,1,60763,35593,27244,59350,11870,17805,29675,123600
7,2,44804,17601,29262,35122,7024,10536,17561,91667
7,3,43304,48521,37880,57855,11571,17356,28927,129705
7,4,83117,18559,41468,63889,12777,19166,31944,143144
7,5,90032,66353,66840,121241,24248,36372,60620,223225
7,6,89273,21959,32749,81028,16205,24308,40514,143981
7,7,62968,26284,23054,66609,13321,19982,33304,112306
7,8,60770,40762,58386,88312,17662,26493,44156,159918
7,9,83934,41366,70330,110215,22043,33064,55107,195630
7,10,89512,37394,68939,115801,23160,34740,57900,195845
7,11,30310,15198,30289,41554,8310,12466,20777,75797
7,12,78047,26836,67617,62339,12467,18701,31169,172500
7,13,42516,46268,39796,69138,13827,20741,34569,128580
7,14,18049,11988,14025,22597,4519,6779,11298,44062
7,15,53903,30801,38878,57682,11536,17304,28841,123582
7,16,57407,10018,18626,30319,6063,9095,15159,86051
7,17,121426,53665,21527,61817,12363,18545,30908,196618
7,18,37850,30467,28817,35467,7093,10640,17733,97134
7,19,62173,30337,22932,65003,13000,19501,32501,115442
7,20,61461,22147,68124,57792,11558,17337,28896,151732
7,21,66396,23922,28859,51734,10346,15520,25867,119177
7,22,31439,9029,16923,34392,6878,10317,17196,57391
7,23,25052,19132,21347,29675,5935,8902,14837,65531
7,24,47051,31648,23776,54337,10867,16301,27168,102475
8,1,56685,35529,11896,56064,11212,16819,28032,104110
8,2,102503,35274,37345,98730,19746,29619,49365,175122
8,3,19732,29523,32481,32682,6536,9804,16341,81736
8,4,26283,22980,22752,24899,4979,7469,12449,72015
8,5,93558,46101,55164,110383,22076,33115,55191,194823
8,6,79635,16000,21268,56448,11289,16934,28224,116903
8,7,87852,14105,50101,72797,14559,21839,36398,152058
8,8,52106,27523,20494,47151,9430,14145,23575,100123
